Name,Step,Evaluation Average Return
Reward-to-go + Value Network,88,291.1212463
Reward-to-go + Value Network,89,337.6007996
Reward-to-go + Value Network,90,358.2155762
Reward-to-go + Value Network,91,307.1582947
Reward-to-go + Value Network,92,351.9905701
Reward-to-go + Value Network,93,294.0690002
Reward-to-go + Value Network,94,280.0187073
Reward-to-go + Value Network,95,287.6257019
Reward-to-go + Value Network,96,296.2308655
Reward-to-go + Value Network,97,328.4362793
Reward-to-go + Value Network,98,301.3631592
Reward-to-go + Value Network,99,228.5990753
Reward-to-go + Value Network,100,246.5448456
