Name,Step,Evaluation Average Return
"b=30000, lr=0.01",36,-19.81911469
"b=30000, lr=0.01",37,-17.04249763
"b=30000, lr=0.01",38,-12.0003233
"b=30000, lr=0.01",39,-16.995924
"b=30000, lr=0.01",40,-17.56302452
"b=30000, lr=0.01",41,-21.40498352
"b=30000, lr=0.01",42,-25.23555946
"b=30000, lr=0.01",43,-6.843883514
"b=30000, lr=0.01",44,-14.589324
"b=30000, lr=0.01",45,-14.54397488
"b=30000, lr=0.01",46,-19.74971771
"b=30000, lr=0.01",47,-10.38676929
"b=30000, lr=0.01",48,0.374915451
"b=30000, lr=0.01",49,-5.667762756
"b=30000, lr=0.01",50,11.83123112
"b=30000, lr=0.01",51,1.345986724
"b=30000, lr=0.01",52,0.64120388
"b=30000, lr=0.01",53,21.13790321
"b=30000, lr=0.01",54,-5.459928989
"b=30000, lr=0.01",55,33.2662468
"b=30000, lr=0.01",56,20.04665184
"b=30000, lr=0.01",57,-8.003279686
"b=30000, lr=0.01",58,44.30332565
"b=30000, lr=0.01",59,31.23473167
"b=30000, lr=0.01",60,30.21211243
"b=30000, lr=0.01",61,41.09211349
"b=30000, lr=0.01",62,36.42702866
"b=30000, lr=0.01",63,39.41169357
"b=30000, lr=0.01",64,52.4549408
"b=30000, lr=0.01",65,27.80198097
"b=30000, lr=0.01",66,58.57781601
"b=30000, lr=0.01",67,51.34657669
"b=30000, lr=0.01",68,69.56472778
"b=30000, lr=0.01",69,68.01865387
"b=30000, lr=0.01",70,70.96070862
"b=30000, lr=0.01",71,68.78458405
"b=30000, lr=0.01",72,64.30581665
"b=30000, lr=0.01",73,73.00228119
"b=30000, lr=0.01",74,80.42812347
"b=30000, lr=0.01",75,82.92050934
"b=30000, lr=0.01",76,73.99659729
"b=30000, lr=0.01",77,93.37648773
"b=30000, lr=0.01",78,93.55364227
"b=30000, lr=0.01",79,83.80532074
"b=30000, lr=0.01",80,102.7051697
"b=30000, lr=0.01",81,79.66281128
"b=30000, lr=0.01",82,93.96649933
"b=30000, lr=0.01",83,106.2591324
"b=30000, lr=0.01",84,114.0084763
"b=30000, lr=0.01",85,93.66906738
"b=30000, lr=0.01",86,116.2737198
"b=30000, lr=0.01",87,123.8154984
"b=30000, lr=0.01",88,108.2888489
"b=30000, lr=0.01",89,116.8527451
"b=30000, lr=0.01",90,123.6324692
"b=30000, lr=0.01",91,115.7902832
"b=30000, lr=0.01",92,110.8853989
"b=30000, lr=0.01",93,107.1119766
"b=30000, lr=0.01",94,128.1556549
"b=30000, lr=0.01",95,118.2991562
"b=30000, lr=0.01",96,120.599678
"b=30000, lr=0.01",97,112.8364258
"b=30000, lr=0.01",98,132.4447021
"b=30000, lr=0.01",99,121.1104813
"b=30000, lr=0.01",100,151.7648926
"b=30000, lr=0.02",1,-91.46567535
"b=30000, lr=0.02",2,-100.5631332
"b=30000, lr=0.02",3,-71.48649597
"b=30000, lr=0.02",4,-62.49198532
"b=30000, lr=0.02",5,-46.14775085
"b=30000, lr=0.02",6,-53.25955582
"b=30000, lr=0.02",7,-67.55838776
"b=30000, lr=0.02",8,-60.68984604
"b=30000, lr=0.02",9,-51.73097229
"b=30000, lr=0.02",10,-34.69716263
"b=30000, lr=0.02",11,-35.1336937
"b=30000, lr=0.02",12,-61.64345169
"b=30000, lr=0.02",13,-12.95694447
"b=30000, lr=0.02",14,-29.91544533
"b=30000, lr=0.02",15,-6.563743114
