Lambda,Step,Evaluation Average Return
0.98,147,214.5770721
0.98,148,227.4302673
0.98,149,245.1881866
0.98,150,226.4250946
0.98,151,178.0983429
0.98,152,240.233551
0.98,153,277.8106689
0.98,154,229.5027313
0.98,155,223.5112
0.98,156,205.9950409
0.98,157,238.2418213
0.98,158,234.1222229
0.98,159,232.0814819
0.98,160,229.8972015
0.98,161,249.9178619
0.98,162,251.8130798
0.98,163,244.2937775
0.98,164,255.2063446
0.98,165,250.8417816
0.98,166,239.8881226
0.98,167,232.4244537
0.98,168,240.3377838
0.98,169,241.3281555
0.98,170,233.2676697
0.98,171,240.8348694
0.98,172,248.1984253
0.98,173,254.6034851
0.98,174,257.5782776
0.98,175,256.7850952
0.98,176,268.7770081
0.98,177,254.6432343
0.98,178,255.2733002
0.98,179,275.153717
0.98,180,266.7044067
0.98,181,242.7069702
0.98,182,232.4560394
0.98,183,263.6087341
0.98,184,270.5331116
0.98,185,268.7762146
0.98,186,264.4638367
0.98,187,277.3682251
0.98,188,238.8486633
0.98,189,278.0330811
0.98,190,270.9777222
0.98,191,296.7265015
0.98,192,254.3007813
0.98,193,272.6651917
0.98,194,328.7929382
0.98,195,294.5854797
0.98,196,308.5078735
0.98,197,334.9382629
0.98,198,303.4516602
0.98,199,301.3141174
0.98,200,310.5444641
0.98,201,324.5292664
0.98,202,346.3952637
0.98,203,324.3474426
0.98,204,243.7192383
0.98,205,328.6811218
0.98,206,360.7372131
0.98,207,313.9354858
0.98,208,293.8579407
0.98,209,306.6775818
0.98,210,300.0899353
0.98,211,377.7668457
0.98,212,359.4473877
0.98,213,382.697998
0.98,214,358.0270081
0.98,215,320.5698547
0.98,216,341.4482117
0.98,217,284.4995422
0.98,218,333.9675293
0.98,219,364.4604492
0.98,220,278.6647644
0.98,221,369.1678162
0.98,222,337.8041687
0.98,223,358.1209717
0.98,224,327.7790222
0.98,225,420.7423096
0.98,226,371.6751709
0.98,227,458.9978638
0.98,228,392.9823303
0.98,229,418.0636292
0.98,230,367.4236755
0.98,231,373.8681946
0.98,232,386.4899597
0.98,233,374.8191223
0.98,234,366.9180908
0.98,235,432.2566223
0.98,236,414.1491699
0.98,237,416.7677307
0.98,238,314.4954529
0.98,239,294.4356995
0.98,240,392.1163025
0.98,241,305.6769409
0.98,242,306.9602966
0.98,243,395.1367188
